Aar,Aar.N:m
aufmerksam,aufmerksam.ADJ
Aufmerksamkeit,Aufmerksamkeit.N:4sf:3sf:2sf:1sf
Aufnahme,Aufnahme.N:f
Aufnehmen,Aufnehmen.N:4sn:3sn:1sn
aufnehmen,aufnehmen.V#3
aufnimmt,aufnehmen.V#3
Aufopferung,Aufopferung.N:4sf:3sf:2sf:1sf
aufrecht,aufrecht.ADJ
Aufrecht,Aufrecht.N:n
Aufregung,Aufregung.N:4sf:3sf:2sf:1sf
aufreibend,aufreiben.V#3
Aufrichten,Aufrichte.N
aufrichten,aufrichten.V#3
aufrichtig,aufrichtig.ADJ
aufrichtige,aufrichtig.ADJ
