Aar,Aar.N:m
Betreffende,Betreffende.N
Betreffenden,Betreffende.N
Betreffs,Betreff.N
Betrieb,Betrieb.N:m
Betriebe,Betrieb.N:m
Betrieben,Betrieb.N:m
Betriebes,Betrieb.N:m
Beträge,Betrag.N:m
Betrübter,Betrübte.N
Bett,Bett.N:n
Betätigen,Betätigen.N:n
Betätigung,Betätigung.N:f
Betäubenden,Betäubende.N
Beunruhigen,Beunruhigen.N:n
Beunruhigten,Beunruhigte.N
Beunruhigung,Beunruhigung.N:f
Beurteilen,Beurteilen.N:n
Bevollmächtigung,Bevollmächtigung.N:f
Bevorstehende,Bevorstehende.N
Bevölkerung,Bevölkerung.N:f
Bewahren,Bewahren.N:n
Bewegen,Bewegen.N:n
Bewegten,Bewegte.N
Bewegung,Bewegung.N:f
Bewegungen,Bewegung.N:f
Beweis,Beweis.N:m
Beweise,Beweis.N:m
Beweisen,Beweis.N:m
Beweises,Beweis.N:m
Bewerkstelligen,Bewerkstelligen.N:n
Bewiesenen,Bewiesene.N
Bewirken,Bewirken.N:n
Bewundern,Bewundern.N:n
Bewunderung,Bewunderung.N:f
Bewusste,Bewusste.N
Bewusstsein,Bewusstsein.N:n
Bewußte,Bewußte.N
Bewähren,Bewähren.N:n
Bezahlen,Bezahlen.N:n
Bezeichnen,Bezeichnen.N:n
Bezeichnung,Bezeichnung.N:f
Beziehen,Beziehen.N:n
Beziehung,Beziehung.N:f
Beziehungen,Beziehung.N:f
Bezirk,Bezirk.N:m
Bezweifeln,Bezweifeln.N:n
Bibel,Bibel.N:f
Bibeln,Bibel.N:f
Bibliothek,Bibliothek.N:f
Bieten,Biet.N:n
Bild,Bild.N:n
Bildchen,Bildchen.N:n
Bilde,Bild.N:n
Bilden,Bilden.N:n
Bilder,Bild.N:n
Bildes,Bild.N:n
Bildung,Bildung.N:f
Bill,Bill.N:f
Billet,Billet.N:n
Billets,Billet.N:n
Billige,Billige.N
Billigen,Billige.N
Billiger,Billige.N
Billiges,Billige.N
Bills,Bill.N:f
Binden,Binde.N
Bindenden,Bindende.N
Bischen,Bischen.N:n
Bischof,Bischof.N:m
Bisherigen,Bisherige.N
Bisheriges,Bisherige.N
Bisschen,Bisschen.N
Bit,Bit.N:n
